Quincena Evaluada,N° Contrato,Detalle Orden,Repeticiones,Fechas_Atendidas,Soluciones,
ENE 2026 Q1,10000255,SIN INTERNET,2,2026-01-06 08:18:00; 2026-01-15 15:37:00,CONFIGURACION DE EQUIPO; EQUIPO DAñADO
ENE 2026 Q1,26,CAIDAS SEGUIDAS DE INTERNET,2,2026-01-07 10:31:00; 2026-01-12 12:52:00,CONFIGURACION DE EQUIPO; EQUIPO DAñADO
ENE 2026 Q1,3053-03-01 00:00:00,SIN INTERNET,3,2026-01-10 11:18:00; 2026-01-13 09:53:00; 2026-01-13 12:06:00,REINICIAR EQUIPO; CAMBIO DE VLAN; EQUIPO DAñADO
ENE 2026 Q1,4061-03-01 00:00:00,SIN INTERNET,2,2026-01-06 09:11:00; 2026-01-06 14:12:00,FALLA GENERAL; FALLA LOS
ENE 2026 Q1,5574-03-01 00:00:00,SIN INTERNET,2,2026-01-07 12:01:00; 2026-01-12 15:49:00,CONECTOR DAñADO
ENE 2026 Q1,6764-03-01 00:00:00,INTERNET LENTO,2,2026-01-02 13:10:00; 2026-01-02 15:36:00,CONFIGURACION DE EQUIPO; SATURACION
ENE 2026 Q1,7277-03-01 00:00:00,INTERNET LENTO,3,2026-01-02 20:00:00; 2026-01-06 21:40:00; 2026-01-14 22:38:00,CAMBIO DE VLAN; FALLA EN LA RED INTERNA
ENE 2026 Q1,A1434,NO NAVEGA EN CIERTAS PAGINAS,2,2026-01-09 19:55:00; 2026-01-12 19:37:00,REINICIAR EQUIPO
ENE 2026 Q1,A19289,INTERNET LENTO,2,2026-01-12 07:25:00; 2026-01-13 22:21:00,CAMBIO DE VLAN; REINICIAR EQUIPO
ENE 2026 Q1,A22691,INTERNET LENTO,2,2026-01-01 00:41:00; 2026-01-13 21:51:00,REINICIAR EQUIPO
ENE 2026 Q1,A25202,CAIDAS SEGUIDAS DE INTERNET,2,2026-01-08 14:37:00; 2026-01-11 17:35:00,REINICIAR EQUIPO; CAMBIO DE VLAN
ENE 2026 Q1,A27398,FALLA LOS,2,2026-01-08 15:49:00; 2026-01-12 14:52:00,CLIENTE NO CONTESTA; CLIENTE DESCONECTADO
ENE 2026 Q1,A34349,SIN INTERNET,2,2026-01-08 11:30:00; 2026-01-10 12:19:00,FALLA GENERAL; REINICIAR EQUIPO
ENE 2026 Q1,A35780,INTERNET LENTO,2,2026-01-11 22:03:00; 2026-01-12 13:18:00,CONFIGURACION DE EQUIPO; FALLA EN LA RED INTERNA
ENE 2026 Q1,A39830,CAIDAS SEGUIDAS DE INTERNET,2,2026-01-09 08:16:00; 2026-01-09 11:32:00,ATAQUE DHCP; REINICIAR EQUIPO
ENE 2026 Q1,A4125,FALLA LOS,2,2026-01-02 11:33:00; 2026-01-05 13:15:00,CONECTOR DAñADO
ENE 2026 Q1,A41742,INTERNET LENTO,2,2026-01-06 15:31:00; 2026-01-08 10:41:00,REINICIAR EQUIPO; CONECTOR DAñADO
ENE 2026 Q1,A45155,SIN INTERNET,3,2026-01-06 08:56:00; 2026-01-09 17:09:00; 2026-01-14 11:37:00,CLIENTE NO CONTESTA; EQUIPO DAñADO
ENE 2026 Q1,A45399,INTERNET LENTO,2,2026-01-14 09:09:00; 2026-01-15 08:27:00,CLIENTE NO CONTESTA
ENE 2026 Q1,A56971,INTERNET LENTO,3,2026-01-08 16:17:00; 2026-01-08 20:00:00; 2026-01-10 10:02:00,REINICIAR EQUIPO; CAMBIO DE VLAN; FALLA EN LA RED INTERNA
ENE 2026 Q1,A57440,SIN INTERNET,3,2026-01-07 22:41:00; 2026-01-08 14:13:00; 2026-01-09 15:48:00,CLIENTE NO CONTESTA; REINICIAR EQUIPO
ENE 2026 Q1,A61756,INTERNET LENTO,2,2026-01-13 15:41:00; 2026-01-13 18:58:00,CAMBIO DE VLAN; REINICIAR EQUIPO
ENE 2026 Q1,A65051,CAIDAS SEGUIDAS DE INTERNET,2,2026-01-14 16:21:00; 2026-01-15 11:40:00,CLIENTE NO CONTESTA; REINICIAR EQUIPO
ENE 2026 Q1,A65051,INTERNET LENTO,2,2026-01-12 15:13:00; 2026-01-13 19:08:00,CAMBIO DE VLAN
ENE 2026 Q1,A67709,USUARIO CLAVE ONT,2,2026-01-10 11:56:00; 2026-01-11 08:34:00,CLIENTE NO CONTESTA; REINICIAR EQUIPO
ENE 2026 Q1,A69159,CAIDAS SEGUIDAS DE INTERNET,2,2026-01-12 18:37:00; 2026-01-15 13:55:00,REINICIAR EQUIPO
ENE 2026 Q1,A71435,SIN INTERNET,2,2026-01-04 11:40:00; 2026-01-08 14:03:00,FALLA EN LA RED INTERNA; FALLA YA SOLVENTADA AL MOMENTO DEL SOPORTE
ENE 2026 Q1,A71679,SIN INTERNET,2,2026-01-09 20:10:00; 2026-01-10 15:02:00,FALLA YA SOLVENTADA AL MOMENTO DEL SOPORTE; CAMBIO DE VLAN
ENE 2026 Q1,A72618,INTERNET LENTO,2,2026-01-04 18:09:00; 2026-01-05 07:26:00,CAMBIO DE VLAN; CLIENTE NO CONTESTA
ENE 2026 Q1,A72699,CAIDAS SEGUIDAS DE INTERNET,2,2026-01-06 18:51:00; 2026-01-07 17:01:00,CLIENTE NO CONTESTA; CAMBIO DE VLAN
ENE 2026 Q1,A74332,CAIDAS SEGUIDAS DE INTERNET,3,2026-01-10 18:52:00; 2026-01-12 13:16:00; 2026-01-13 13:29:00,CLIENTE NO CONTESTA; REINICIAR EQUIPO; FALLA YA SOLVENTADA AL MOMENTO DEL SOPORTE
ENE 2026 Q1,A7792,INTERNET LENTO,2,2026-01-11 19:07:00; 2026-01-13 06:10:00,REINICIAR EQUIPO
ENE 2026 Q1,A8971,FALLA LOS,2,2026-01-05 16:02:00; 2026-01-08 10:45:00,CONECTOR DAñADO
